ParentSmiles,Status Influx,Status Efflux,Status PAMPA,Status BBB,Status CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,Testrain Influx,Testrain PAMPA,Testin CNS,Testain BBB,Testrain Efflux,Efflux Prediction Properties,Efflux Probability Properties,PAMPA Prediction Properties,PAMPA Probability Properties,BBB Prediction Properties,BBB Probability Properties,CNS Prediction Properties,CNS Probability Properties,Influx Prediction Properties,Influx Probability Properties,Efflux Prediction Fingerprints,Efflux Probability Fingerprints,PAMPA Prediction Fingerprints,PAMPA Probability Fingerprints,BBB Prediction Fingerprints,BBB Probability Fingerprints,CNS Prediction Fingerprints,CNS Probability Fingerprints,Influx Prediction Fingerprints,Influx Probability Fingerprints
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,NaN,NaN,NaN,NaN,0.88,89.05,-1.9,-0.61,4,1,396.197045124,3,Train,NaN,NaN,NaN,NaN,1,0.9328545928001404,0,0.0145492535084486,0,0.01043087150901556,0,0.016245895996689796,1,0.9500008225440979,1,0.9221272468566895,1,0.5751808881759644,1,0.6732555031776428,0,0.003274185350164771,1,0.9335030913352966
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,1.0,NaN,NaN,NaN,NaN,3.09,146.13,-1.83,0.27,7,4,551.393436416,19,Test,NaN,NaN,NaN,NaN,0,0.2582572102546692,0,0.0038569846656173468,0,0.4872433841228485,0,0.0038899234496057034,0,0.03334741294384003,0,0.10554181784391403,1,0.5057933926582336,0,0.46621155738830566,0,0.07982002198696136,1,0.8925226330757141
Nc1nc(=O)c2c([nH]cc2CCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)[nH]1,1.0,1.0,NaN,NaN,0.0,0.58,191.26,-1.43,-4.47,6,6,427.149183392,9,Train,NaN,Train,NaN,Train,1,0.9881119728088379,0,0.0075841001234948635,0,0.005894635803997517,0,0.00024827884044498205,0,0.327353835105896,1,0.9960380792617798,1,0.6756355166435242,0,0.09830942749977112,0,0.004944238346070051,1,0.9661588072776794
CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1.0,1.0,NaN,NaN,NaN,3.65,82.69,-2.24,0.54,4,3,411.18458653199997,8,Test,NaN,NaN,NaN,Train,1,0.9205910563468933,1,0.9839364290237427,1,0.9217708706855774,0,0.06827258318662643,0,0.3622162342071533,1,0.8571691513061523,1,0.7602056860923767,1,0.9152882099151611,0,0.022813955321907997,0,0.0030321029480546713
COc1ccccc1Oc1c(OCCO)nc(-c2ncccn2)nc1NS(=O)(=O)c1ccc(C(C)(C)C)cc1,1.0,NaN,NaN,NaN,0.0,4.18,145.65,-3.54,1.53,10,2,551.1838546480001,10,Train,NaN,Test,NaN,NaN,0,0.447997123003006,0,0.17051586508750916,0,0.4006054699420929,0,0.000938392651733011,1,0.5896775126457214,1,0.5979922413825989,1,0.9996473789215088,1,0.8018974661827087,0,0.008774911053478718,1,0.7654904127120972
COc1cc2c(cc1OC)CN(c1nc(N3CCCN(C(=O)N4CC(O)C(O)C4)CC3)nc3cc(OC)c(OC)cc13)CC2,1.0,NaN,NaN,NaN,NaN,1.88,133.19,-3.62,1.24,11,2,608.2958476199999,6,Train,NaN,NaN,NaN,NaN,1,0.9931986927986145,1,0.7503754496574402,0,0.03251160308718681,0,0.14909499883651733,1,0.9509227871894836,1,0.9824910759925842,1,0.7663894891738892,0,0.06285597383975983,0,0.001851309440098703,1,0.9250038266181946
C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3OCOc3c2)c(F)c1)C(=O)O,1.0,1.0,NaN,NaN,NaN,2.24,116.21,-0.4,-1.12,7,2,454.117629168,8,Train,NaN,NaN,NaN,Train,1,0.9163634181022644,1,0.7310277819633484,0,0.22288310527801514,0,0.02009015530347824,1,0.9414504766464233,1,0.8980320692062378,0,0.1900312453508377,0,0.3788713812828064,0,0.024309495463967323,1,0.9613115191459656
Cc1ccccc1C(=O)N1CCC(=NOS(=O)(=O)O)c2ccc(Cl)cc21,1.0,NaN,NaN,NaN,NaN,0.51,104.65,-1.05,-2.26,5,1,394.03902026,3,Test,NaN,NaN,NaN,NaN,1,0.9716246724128723,0,0.010765456594526768,0,0.02690141089260578,0,0.00482115987688303,1,0.6340803503990173,1,0.8623444437980652,1,0.742214560508728,0,0.2988799810409546,0,0.3236590623855591,0,0.0018273479072377086
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,1.0,NaN,NaN,NaN,NaN,6.39,9.23,-8.34,6.59,1,0,481.715213212,2,Test,NaN,NaN,NaN,NaN,0,0.203391432762146,1,0.9901297688484192,1,0.9978126287460327,0,0.010168558917939663,0,0.288015216588974,0,0.0956537127494812,1,0.9836037755012512,1,0.9831603169441223,0,0.3588486909866333,0,0.025898702442646027
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1.0,NaN,NaN,NaN,NaN,6.78,9.23,-9.43,7.18,1,0,559.6257252800001,2,Test,NaN,NaN,NaN,NaN,1,0.6309105157852173,1,0.8644236326217651,1,0.9965110421180725,0,0.011900171637535095,1,0.6956028342247009,0,0.17973487079143524,1,0.9601534008979797,1,0.982506513595581,0,0.11131913959980011,1,0.843288004398346
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,1.0,NaN,NaN,NaN,NaN,7.28,9.23,-10.55,7.77,1,0,637.5362373480001,2,Train,NaN,NaN,NaN,NaN,1,0.730185866355896,1,0.7594000697135925,1,0.9965110421180725,0,0.01585383340716362,1,0.8339081406593323,0,0.13075269758701324,1,0.8631623387336731,1,0.9971262812614441,0,0.007367310579866171,1,0.9453752636909485
O=C(O)CCCC=CC[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1,1.0,NaN,NaN,NaN,NaN,3.01,97.99,-0.3,0.14,4,4,390.240624188,12,Test,NaN,NaN,NaN,NaN,1,0.7257729172706604,0,0.03390512242913246,0,0.018663393333554268,0,0.0010602049296721816,0,0.0860324501991272,1,0.9211403727531433,0,0.2520231008529663,0,0.04065261036157608,0,0.0015843275468796492,0,0.02430671826004982
O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,1.0,NaN,NaN,NaN,NaN,3.16,97.11,-0.99,0.06,5,2,396.14092512800005,6,Train,NaN,NaN,NaN,NaN,0,0.32399025559425354,0,0.17682375013828278,0,0.12310090661048889,0,0.06619766354560852,1,0.959338903427124,1,0.6637744307518005,1,0.5634071230888367,1,0.7415643930435181,0,0.05900999531149864,1,0.9437770843505859
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,1.0,1.0,NaN,NaN,NaN,0.61,92.21,-1.92,-1.44,4,2,376.134444868,2,Train,NaN,NaN,NaN,Test,1,0.9934341907501221,0,0.002356859389692545,0,0.1511479616165161,0,0.004557230044156313,1,0.9628878831863403,1,0.9082444906234741,1,0.5504188537597656,0,0.1489713490009308,0,0.026117200031876564,1,0.924623429775238
COCc1c(C(C)C)nc(C(C)C)c(C=C[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1.0,NaN,NaN,NaN,NaN,3.78,99.88,-1.99,0.66,5,3,459.24210140800005,11,Train,NaN,NaN,NaN,NaN,1,0.9739649295806885,1,0.8695794939994812,1,0.9628995060920715,0,0.002866370603442192,1,0.9413678646087646,1,0.977259635925293,1,0.8861967325210571,1,0.6175112128257751,0,0.009475325234234333,1,0.9792494177818298
